Paper	Ecoregion	BIOME	Type_of_Species	Species	WU	MUWM	CARN	DOM	HARE	SM	BIRD	REPT	FISH	ARTHR	PLANTS	OTHER	WASTE	Percentage
1971_Bothma	548	10	3	SF	0,62		0,00	0,00	3,11	24,84	7,45	0,62		14,91	19,88	13,04	15,53	100,00
1971_Bothma	548	10	1	SSJ	6,67			3,33		3,33	10,00	13,33		13,33	26,67	23,33		100,00
1971_Bothma	548	10	4	Viverra_civeta	2,17					6,52	8,70	4,35		21,74	28,26	21,74	6,52	100,00
1977_Stuart	1110	9	2	WC						46,41	5,64	0,09		41,19	6,68			100,00
1978_Delibes	86	2	4	Mart					2,84	26,48	11,08	2,27	1,42	21,31	32,48	2,27		100,15
1978_Fritts	201	8	2	BC	12,57	1,05	7,85	1,05	30,37	34,03	6,28	1,05				5,76		100,00
1978_Lamprecht	512	3	1	AGW	2,28	15,98				10,05	1,37	0,00		45,66	23,29		1,37	100,00
1981_Stuart	1008	4	3	BEF						2,18	0,87	0,87		82,97	11,79	1,31		100,00
1981_Stuart	1008	4	3	CF				10,26		16,67	5,13	5,13		46,15	10,26	6,41		100,00
1981_Stuart	1008	4	1	BBJ	3,19	0,53	1,06	14,89	2,66	18,09	10,64	2,66		6,38	21,81	18,09		100,00
1981_Stuart	1008	4	2	AWC		2,86		5,71		54,29	17,14	2,86		8,57	8,57			100,00
1982_MacCracken	1072	7	1	Coyote			3,90	6,10	14,40	8,30	15,90	0,00			38,50		13,70	100,80
1983_Guitian	86	2	3	RF	0		0,21		0,64	18,82	2,37	0,43	0	38,96	38,09			99,52
1983_Guitian	86	2	4	Martes	0		0		0,34	19,34	2,62	0,75	0	7,45	69,46			99,96
1983_Guitian	86	2	2	WC	0		0		0	43,47	8,69	8,69	0	39,13	0			99,98
1984_McShane	506	Sahel	1	AGW	0,9			6,1229740159506	7924	15822	6097	0,18		18163	21405		23386	100,00
1986_Khan	1044	9	1	EUGJ		1,8				79,6	15,9					2,7		100,00
1986_Litvaitis	183	8	2	BC	12,77	9,06			52,11	12,77	13,29	0,00						100,00
1986_Ragni	376	2	2	WC						95,65	4,35	0,00						100,00
1986_Waitmer	101	8	1	Coyote	6,93	49,48	0,62		6,31	28,11	0,40	0,20		0,21	4,69	3,05		100,00
1986_Waitmer	101	8	2	BC	9,34	55,11	0,30		4,82	25,92		0,00				4,51		100,00
1987_Major	183	8	1	Coyote	38,11	2,41	0,15		40,44	5,61	4,42	0		1,36	7,44	0,42		100,36
1987_Major	183	8	2	BC	31,6	3,17			50,46	7,4	7,36	0						99,99
1987_Major	183	8	3	RF	5,81	0,30			35,71	28,35	8,29	0,00		4,46	16,79	0,29		100,00
1987_Palmer	1008	9	2	AWC						52,38	9,52	0,00		38,10				100,00
1988_Papageorgiou	763	1	3	RF	2,82		3,71	7,82	0,56	13,12	14,91	3,68		21,47	29,18		2,72	99,99
1988_Sankar	412	6	1	EUGJ	3,50					26,50	24,10			4,10	36,50	5,3		100,00
1992_Geffen.Ein_Gedi	832	9	3	BF							1,93	0,28		78,94	14,14	1,67	3,03	99,99
1992_Geffen.Eilat	832	9	3	BF							1,79	6,02		81,58	4,67	1,46	4,54	100,06
1992_Jedrzejewski	98	2	3	RF	24,62				6,58	51,08	5,74	1,35		1,86	7,08	0,51	1,19	100,00
1992_Kok	1008	4	3	BEF						5,03	0,30	2,38		37,60	38,18	0,91	15,66	100,08
1993_Jedrzejewski	98	2	4	Martes	3,25	5,84	0,14		0,36	57,38	5,03	6,76		9,42	11,42		0,36	99,96
1993_Koehler	11	8	1	Coyote	33,31			12,69	4,35	41,37	2,12	1,45		1,09	1,44	2,17		99,99
1993_Koehler	11	8	2	BC	16,08		0,00	9,84	4,92	64,67	3,57	0,00	0,00	0,00	0,00	0,90	0,00	99,99
1994_Tatara	244	5	4	Martes	0,00		0,00	0,00	0,00	9,86	2,46	1,66	4,60	21,35	54,81	5,26	0,00	100,00
1994_Tatara	244	5	2	LC	0,00		0,00	0,00	0,00	35,96	14,33	8,76	0,47	9,54	30,94	0,00	0,00	100,00
1995_Clevenger	86	2	4	Martes	0,00	0,06	0,00	0,00	3,13	19,40	19,84	2,38	0,00	27,60	25,28	2,00	0,31	100,00
1995_White	1073	7	1	Coyote	13,48		0,00	3,34	12,39	31,55	2,59	2,08	0,00	28,63	7,39		0,00	101,45
1995_White	1073	7	3	KF	1,19		0,00	0,77	4,88	47,70	9,45	1,52	0,00	34,27	0,53		0,00	100,30
1996_Cavallini.Old	1125	1	3	RF	4,54			12,00		15,00	14,85	0,00		27,00	19,61		9,08	102,08
1996_Cavallini.Recent	1125	1	3	RF	5,00			7,00		20,00	10,00	0,00		22,50	32,00	0,20	4,00	100,70
1996_Sarmento	1120	1	2	WC	0,00		0,00	0,00	7,49	57,78	11,73	12,72	100,00	1156	9080	0	0	199,96
1997_Harrison.Residential	777	9	3	GF	0,00		0,82	0,00	12,45	14,64	4,87	0,41	0,00	10,68	41,40	13,77	0,95	100,00
1997_Harrison.Undeveloped	777	9	3	GF	0,00		0,00	0,00	1,32	19,23	2,59	0,00	0,00	10,18	53,82	12,86	0,00	100,00
1998_Gil-Sanchez	1120	1	2	WC	0,00		0,00	0,00	26,27	66,52	5,50	1,69	0,00	0,00	0,00	0,00	0,00	99,98
1998_Kauhala	508	2	3	RF	0,00	3,58	0,00	0,00	21,50	34,64	20,4778156996587	0	2,55972696245734	11,0921501706485	4,60750853242321	1,5358361774744	0	100,00
1998_Litvaitis	183	8	2	BC	15,38		0,00	0,00	63,43	12,43	5,12	0,00	0,00	0,73	2,91	0,00	0,00	99,99
1998_Litvaitis	183	8	1	Coyote	18,10		0,00	0,00	25,94	11,73	3,50	0,00	0,00	2,82	37,90	0,00	0,00	99,99
